codigo,clave,descripcion,caja,master,precio,unidad,ean,precio minimo de venta,alta rotacion,precio mayoreo con IVA,precio distribuidor con IVA,precio publico con IVA,precio mayoreo sin IVA,precio distribuidor sin IVA,precio publico sin IVA,Marca,Precio Medio Mayoreo sin IVA,Precio Medio Mayoreo con IVA,Codigo SAT,Descripcion SAT,Familia,Descripcion Familia,Peso[Kg],Volumen[cm3]
43910,PEPU-14,Gancho doble largo y corto tipo perchero niquel satinado,12,288,55,Pieza,7.51E+12,35,0,45,35,55,38.79,30.17,47.41,Hermex,42.24,49,31162813,Ganchos para cerda de ropa,P033,Accesorios de cerrajeria,0.065,177.753
43911,PEPU-24,Gancho doble tipo perchero niquel satinado Hermex,12,432,39,Pieza,7.51E+12,25,0,33,25,39,28.45,21.55,33.62,Hermex,30.17,35,31162813,Ganchos para cerda de ropa,P033,Accesorios de cerrajeria,0.04,170.306
43912,PEPU-13,Gancho doble largo y corto tipo perchero cromo mate Hermex,12,288,55,Pieza,7.51E+12,35,0,45,35,55,38.79,30.17,47.41,Hermex,42.24,49,31162813,Ganchos para cerda de ropa,P033,Accesorios de cerrajeria,0.06,177.616
43913,PEPU-23,Gancho doble tipo perchero cromo mate Hermex,12,432,39,Pieza,7.51E+12,25,0,33,25,39,28.45,21.55,33.62,Hermex,30.17,35,31162813,Ganchos para cerda de ropa,P033,Accesorios de cerrajeria,0.04,174.082
43920,CB-15,Candado de cable con llave 15mm X 1.20 m Hermex,4,24,145,Pieza,7.51E+12,99,0,119,99,145,102.59,85.34,125,Hermex,111.21,129,46171501,Candados,P024,Candados,0.48,1600.695
43924,CB-8C,Candado de cable con combinacion 8 mm X 1.0 m Hermex,3,36,115,Pieza,7.51E+12,79,0,94,79,115,81.03,68.1,99.14,Hermex,90.52,105,46171501,Candados,P024,Candados,0.28,1278.235
43925,CB-10C,Candado de cable con combinacion 10 mm X 1.20 m Hermex,3,36,129,Pieza,7.51E+12,89,0,106,89,129,91.38,76.72,111.21,Hermex,100.86,117,46171501,Candados,P024,Candados,0.34,1151.156
44000,ME-5B,Mensula de acero blanca 4 x 5' Fiero,24,144,8,Pieza,7.50E+12,5,0,6.5,5,8,5.6,4.31,6.9,Fiero,6.21,7.2,30191608,Mensula del andamio,P206,Mensulas,0.035,60.353
44001,ME-5G,Mensula de acero gris 4 x 5' Fiero,12,144,8,Pieza,7.50E+12,5,0,6.5,5,8,5.6,4.31,6.9,Fiero,6.21,7.2,30191608,Mensula del andamio,P206,Mensulas,0.035,100.627
44002,MUBA-10B,Lavabo ceramico con rebosadero blanco Foset,1,0,675,Pieza,7.51E+12,465,0,555,465,675,478.45,400.86,581.9,Foset,530.17,615,56101500,Muebles,P721,Muebles de bano,9.92,39094.412
44003,ME-6B,Mensula de acero blanca 5 x 6' Fiero,24,144,9.5,Pieza,7.50E+12,6,0,8,6,9.5,6.9,5.17,8.19,Fiero,7.33,8.5,30191608,Mensula del andamio,P206,Mensulas,0.04,90.321
44004,ME-6G,Mensula de acero gris 5 x 6' Fiero,12,144,9.5,Pieza,7.50E+12,6,0,8,6,9.5,6.9,5.17,8.19,Fiero,7.33,8.5,30191608,Mensula del andamio,P206,Mensulas,0.045,161.647
44005,MUBA-20B,Pedestal ceramico para lavabo blanco Foset,1,0,605,Pieza,7.51E+12,415,0,495,415,605,426.72,357.76,521.55,Foset,469.83,545,56101500,Muebles,P721,Muebles de bano,8.26,25099.2
44006,ME-8B,Mensula de acero blanca 6 x 8' Fiero,24,144,12.5,Pieza,7.50E+12,8,0,10.5,8,12.5,9.05,6.9,10.78,Fiero,9.91,11.5,30191608,Mensula del andamio,P206,Mensulas,0.06,140.922
44007,ME-8G,Mensula de acero gris 6 x 8' Fiero,12,144,12.5,Pieza,7.50E+12,8,0,10.5,8,12.5,9.05,6.9,10.78,Fiero,9.91,11.5,30191608,Mensula del andamio,P206,Mensulas,0.06,207.434
44008,MUBA-30B,Tanque bajo ceramico con accesorios blanco Foset,1,0,1050,Pieza,7.51E+12,725,0,865,725,1050,745.69,625,905.17,Foset,823.28,955,56101500,Muebles,P721,Muebles de bano,13.68,33666.48
44009,ME-10B,Mensula de acero blanca 8 x 10' Fiero,24,72,19,Pieza,7.50E+12,12,0,15.5,12,19,13.36,10.34,16.38,Fiero,14.66,17,30191608,Mensula del andamio,P206,Mensulas,0.099,251.214
44010,ME-10G,Mensula de acero gris 8 x 10' Fiero,12,72,19,Pieza,7.50E+12,12,0,15.5,12,19,13.36,10.34,16.38,Fiero,14.66,17,30191608,Mensula del andamio,P206,Mensulas,0.1,346.968
44011,MUBA-40B,Taza redonda ceramica blanca Foset,1,0,1050,Pieza,7.51E+12,725,0,865,725,1050,745.69,625,905.17,Foset,823.28,955,56101500,Muebles,P721,Muebles de bano,19.8,112674.24
44012,ME-12B,Mensula de acero blanca 10 x 12' Fiero,24,72,24,Pieza,7.50E+12,15,0,19,15,24,16.38,12.93,20.69,Fiero,18.1,21,30191608,Mensula del andamio,P206,Mensulas,0.14,346.06
44013,ME-12G,Mensula de acero gris 10 x 12' Fiero,12,72,24,Pieza,7.50E+12,15,0,19,15,24,16.38,12.93,20.69,Fiero,18.1,21,30191608,Mensula del andamio,P206,Mensulas,0.14,527.037
44014,ME-14B,Mensula de acero blanca 12 x 14' Fiero,24,72,29,Pieza,7.50E+12,19,0,25,19,29,21.55,16.38,25,Fiero,23.28,27,30191608,Mensula del andamio,P206,Mensulas,0.18,525.866
44015,ME-14G,Mensula de acero gris 12 x 14' Fiero,12,60,29,Pieza,7.50E+12,19,0,25,19,29,21.55,16.38,25,Fiero,23.28,27,30191608,Mensula del andamio,P206,Mensulas,0.18,731.283
44017,BCIN-1000C,Bote con 1000 cinchos plasticos en colores surtidos Volteck,1,12,385,Set,7.51E+12,265,0,319,265,385,275,228.45,331.9,Volteck,297.41,345,31152100,Cordones,P036,Cinchos de plastico y de contacto,0.68,3863.335
44018,CIN-20,Bolsa con 200 cinchos plasticos negros y naturales Volteck,4,40,69,Set,7.51E+12,45,0,58,45,69,50,38.79,59.48,Volteck,55.17,64,31152100,Cordones,P036,Cinchos de plastico y de contacto,0.115,772.934
44019,CIN-20C,Bolsa con 200 cinchos plasticos en colores surtidos Volteck,4,40,69,Set,7.51E+12,45,0,58,45,69,50,38.79,59.48,Volteck,55.17,64,31152100,Cordones,P036,Cinchos de plastico y de contacto,0.115,778.192
44123,CLC-2G,Bolsa con 1 kg de clavos para concreto galvanizados 2',5,20,95,Caja,7.50E+12,65,0,79,65,95,68.1,56.03,81.9,Fiero,73.28,85,31162000,Clavos,P040,Clavos para concreto,1,1005.469
44125,CLC-3G,Bolsa con 1 kg de clavos para concreto galvanizados 3',5,20,95,Caja,7.50E+12,65,0,79,65,95,68.1,56.03,81.9,Fiero,73.28,85,31162000,Clavos,P040,Clavos para concreto,1,1146.338
44133,CLC-2N,Bolsa con 1 kg de clavos para concreto negros 2' Fiero,5,20,79,Bolsa,7.50E+12,54,0,65,54,79,56.03,46.55,68.1,Fiero,62.07,72,31162000,Clavos,P040,Clavos para concreto,1,1016.464
44135,CLC-3N,Bolsa con 1 kg de clavos para concreto negros 3' Fiero,5,20,79,Bolsa,7.50E+12,54,0,65,54,79,56.03,46.55,68.1,Fiero,62.07,72,31162000,Clavos,P040,Clavos para concreto,1,1192.118
44137,CLC-4G,Bolsa con 1 kg de clavos para concreto galvanizados 4',5,20,95,kg,7.51E+12,65,0,79,65,95,68.1,56.03,81.9,Fiero,73.28,85,31162000,Clavos,P040,Clavos para concreto,1,1155
44138,CLC-4N,Bolsa con 1 kg de clavos para concreto negros 4' Fiero,5,20,79,kg,7.51E+12,54,0,65,54,79,56.03,46.55,68.1,Fiero,62.07,72,31162000,Clavos,P040,Clavos para concreto,1,1176
44231,AB-06,Bolsa c/10 abrazaderas mini sin fin reforzadas #6 1/2-3/4',10,40,55,Bolsa,7.50E+12,35,0,45,35,55,38.79,30.17,47.41,Fiero,42.24,49,31162906,Abrazaderas de manguera o tubo,P002,Abrazaderas,0.08,235.2
44255,AB-03,Bolsa c/10 abrazaderas mini sin fin reforzadas #3 1/4'-5/8',10,40,55,Bolsa,7.51E+12,35,0,45,35,55,38.79,30.17,47.41,Fiero,42.24,49,31162906,Abrazaderas de manguera o tubo,P002,Abrazaderas,0.08,238.342
44289,CACA-20,Collar de entrenamiento para perro 45 cm eslabon 2 mm,24,96,15.5,Pieza,7.51E+12,10,0,13,10,15.5,11.21,8.62,13.36,Fiero,12.5,14.5,31151600,Cadenas,P491,Cadenas y correas para perro,0.04,52.48
44290,CACA-25,Collar de entrenamiento para perro 45 cm eslabon 2.5 mm,12,96,19,Pieza,7.50E+12,12,0,15.5,12,19,13.36,10.34,16.38,Fiero,14.66,17,31151600,Cadenas,P491,Cadenas y correas para perro,0.06,97.524
44292,CACA-35,Collar de entrenamiento para perro 55 cm eslabon 3.5 mm,12,72,29,Pieza,7.50E+12,19,0,25,19,29,21.55,16.38,25,Fiero,23.28,27,31151600,Cadenas,P491,Cadenas y correas para perro,0.14,166.822
44294,COPE-10,Correa con pechera para perro 1 cm ancho Fiero,12,120,39,Pieza,7.51E+12,25,0,33,25,39,28.45,21.55,33.62,Fiero,31.03,36,31151600,Cadenas,P491,Cadenas y correas para perro,0.045,321.024
44295,COPE-15,Correa con pechera para perro 1.5 cm ancho Fiero,12,120,55,Pieza,7.51E+12,35,0,45,35,55,38.79,30.17,47.41,Fiero,42.24,49,31151600,Cadenas,P491,Cadenas y correas para perro,0.08,426.24
44300,CIN-1810,Bolsa con 100 cinchos plasticos 18 lb 100x2.5 mm naturales,20,120,20,Juego,7.50E+12,13,0,17,13,20,14.66,11.21,17.24,Volteck,16.38,19,31162800,Ferreteria en general,P036,Cinchos de plastico y de contacto,0.029,193.134
44301,CIN-1815,Bolsa con 100 cinchos plasticos 18 lb 150x2.5 mm naturales,20,120,30,Juego,7.50E+12,19,0,25,19,30,21.55,16.38,25.86,Volteck,23.28,27,31162800,Ferreteria en general,P036,Cinchos de plastico y de contacto,0.04,235.316
44302,CIN-1820,Bolsa con 100 cinchos plasticos 18 lb 200x2.5 mm naturales,20,120,39,Juego,7.50E+12,25,0,33,25,39,28.45,21.55,33.62,Volteck,31.03,36,31162800,Ferreteria en general,P036,Cinchos de plastico y de contacto,0.055,276.788
44303,CIN-4015,Bolsa con 50 cinchos plasticos 40 lb 150x3.5 mm naturales,20,120,24,Juego,7.50E+12,15,0,19,15,24,16.38,12.93,20.69,Volteck,18.1,21,31162800,Ferreteria en general,P036,Cinchos de plastico y de contacto,0.035,245.512
