TRUPER,,GAFI
Claves,Descripcion,Claves,Descripcion
16711 ; A-31-30 ; 7501206689868,Aceite multiusos 30 ml,191493 ; 16711,Aceite multiusos 30ml A3130 Truper
16712 ; A-31-90 ; 7501206689875,Aceite multiusos 90 ml,191494 ; 16712,Aceite multiusos 90ml A3190 Truper
14991 ; ACT-2T-2 ; 7506240635161,Aceite para motor de dos tiempos 2 oz,202028 ; 14991,Aceite p/motor dos tiempos 02oz 60ml ACES2 Truper
17624 ; ACT-2T-4 ; 7501206685501,Aceite para motor de dos tiempos 4 oz,5078 ; 17624,Aceite p/motor dos tiempos 03oz 100ml ACES5 Truper
17625 ; ACT-2T-16 ; 7501206685495,Aceite para motor de dos tiempos 16 oz,5079 ; 17625,Aceite p/motor dos tiempos 14oz 400ml ACES20 Truper
57071 ; AMU-48 ; 7506240655015,Aceite rojo para muebles 480 ml,212876 ; 57071,Aceite rojo p/madera 480ml AMU48 Klintek
14870 ; ACEF-180 ; 7501206684146,Aceitera de pipeta flexible 180 ml,8290 ; 14870,Aceitera pipeta flexible 180ml acef-180 truper
14872 ; ACEF-300 ; 7501206684160,Aceitera de pipeta flexible 300 ml,8291 ; 14872,Aceitera pipeta flexible 300ml acef-300 truper
14874 ; ACEF-500 ; 7501206684184,Aceitera de pipeta flexible 500 ml,8292 ; 14874,Aceitera pipeta flexible 500ml acef-500 truper
44443 ; ACO-BOLA-20 ; 7501206689691,Acoplador para BOLA-20,191495 ; 44443,Acoplador p/bola-20 aco-bola-20 fiero
44442 ; ACO-BOLA-35 ; 7501206689684,Acoplador para BOLA-35,191496 ; 44442,Acoplador p/bola-35 aco-bola-35 fiero
14318 ; AC-PF ; 7506240647331,Adaptador de protector facial para casco,210165 ; 14318,Adaptador d/protector facial p/casco acpf truper
46490 ; POCO-12 ; 7506240635178,Adaptador de portalampara a contacto,205449 ; 46490,Adaptador de portalampara a contacto poco12 voltech
16880 ; ADAP-1/4 ; 7506240606406,Juego de adaptadores hexagonales de 1/4"",193607 ; 16880,Adaptador hexagonal 1/4 blister 4pz adap-1/4 truper
14654 ; ADAP-PLUS ; 7506240619284,Adaptador para rotomartillos SDS PLUS,199664 ; 14654,Adaptador p/rotomartillo sds plus adap-plus truper
49305 ; ADPO-1/2M ; 7506240603931,Adaptador para poliducto 1/2' macho,192225 ; 49305,Adaptador para poliducto macho 013mm 1/2 laton ADPO1/2M Fose
49306 ; ADPO-3/4M ; 7506240603948,Adaptador para poliducto 3/4' macho,192226 ; 49306,Adaptador para poliducto macho 19mm 3/4 foset
46074 ; ADAP-Y2 ; 7501206686607,Adaptador 'y' 2 jacks a 1 plug,190028 ; 46074,Adaptador 'y' 2 jacks a 1 plug adap-y2 voltech
45233 ; AR-001 ; 7506240673842,Aireador conexion hembra para cuello de mezcladora,225798 ; 45233,Aereador p/mezcladora crom AR001 Foset
24140 ; AFI-CU ; 7506240635963,Afilador de cuchillos Pretul,205120 ; 24140,Afilador de cuchillos aficu pretul
15147 ; AFI-CUX ; 7506240647430,Afilador de cuchillos,210004 ; 15147,Afilador de cuchillos aficux truper
44920 ; PUCO-A45 ; 7506240624493,Pua concertina alta seguridad 45 cm diametro,197460 ; 44920,Alambre concertina 4 puntas 8mt 45cm pucoa45 fiero
44465 ; ALG-125 ; 7506240601883,Alambre galvanizado calibre 12.5,191802 ; 44465,Alambre galvanizado cal 12.5 1kg alg125 fiero
45121 ; ALG-145B ; 7506240648895,Alambre galvanizado rollo 30 g en bolsa calibre 14.5,210968 ; 45121,Alambre galvanizado cal 14 30g alg145b fiero
44466 ; ALG-145 ; 7506240601890,Alambre galvanizado calibre 14.5,191801 ; 44466,Alambre galvanizado cal 14.5 1kg alg145 fiero
44467 ; ALG-160 ; 7506240601906,Alambre galvanizado calibre 16,191800 ; 44467,Alambre galvanizado cal 16 1kg alg160 fiero
45117 ; ALG-160B ; 7506240648888,Alambre galvanizado rollo 30 g en bolsa calibre 16,210967 ; 45117,Alambre galvanizado cal 16 30g alg160b fiero
44468 ; ALG-180 ; 7506240601913,Alambre galvanizado calibre 18,191799 ; 44468,Alambre galvanizado cal 18 1kg alg180 fiero
45116 ; ALG-180B ; 7506240648871,Alambre galvanizado rollo 30 g en bolsa calibre 18,210966 ; 45116,Alambre galvanizado cal 18 30g alg180b fiero
44469 ; ALG-200 ; 7506240601920,Alambre galvanizado calibre 20,191798 ; 44469,Alambre galvanizado cal 20 1kg alg200 fiero
45115 ; ALG-200B ; 7506240648864,Alambre galvanizado rollo 30 g en bolsa calibre 20,210965 ; 45115,Alambre galvanizado cal 20 30g alg200b fiero
